,date,longitude,latitude,Province,Town,night/day,land/water,MaxFRP,fire
49,2021-08-09,7.984820853041319,36.170833330095924,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
50,2021-08-10,7.925412013857337,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
51,2021-08-10,7.9357382835821655,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
52,2021-08-10,7.946064553306952,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
53,2021-08-10,7.956390823031779,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
54,2021-08-10,7.966717092756565,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
55,2021-08-10,7.9770433624813935,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
56,2021-08-10,7.987369632206178,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
57,2021-08-10,7.934893834934226,36.1874999967611,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
58,2021-08-10,7.945219005831884,36.1874999967611,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
59,2021-08-10,7.9555441767295845,36.1874999967611,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
60,2021-08-10,7.965869347627241,36.1874999967611,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
61,2021-08-10,7.976194518524942,36.1874999967611,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
62,2021-08-10,7.986519689422599,36.1874999967611,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
63,2021-08-10,7.93404973380309,36.17916666342851,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
64,2021-08-10,7.94437380632582,36.17916666342851,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
65,2021-08-10,7.954697878848594,36.17916666342851,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
66,2021-08-10,7.965021951371324,36.17916666342851,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
67,2021-08-10,7.975346023894097,36.17916666342851,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
68,2021-08-10,7.98567009641683,36.17916666342851,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
69,2021-08-10,7.933205980042158,36.170833330095924,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
70,2021-08-10,7.943528954641974,36.170833330095924,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
71,2021-08-10,7.95385192924183,36.170833330095924,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
72,2021-08-10,7.964174903841645,36.170833330095924,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
73,2021-08-10,7.974497878441503,36.170833330095924,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
74,2021-08-10,7.984820853041319,36.170833330095924,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
75,2021-08-11,7.925412013857337,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
76,2021-08-11,7.9357382835821655,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
77,2021-08-11,7.946064553306952,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
78,2021-08-11,7.956390823031779,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
79,2021-08-11,7.966717092756565,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,361.0,1
80,2021-08-11,7.9770433624813935,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,361.0,1
81,2021-08-11,7.987369632206178,36.195833330093684,Souk Ahras,AIN Djehifa,1.0,2.0,0.0,0
82,2021-08-11,7.934893834934226,36.1874999967611,Souk Ahras,AIN Djehifa,1.0,2.0,1149.0,1
83,2021-08-11,7.945219005831884,36.1874999967611,Souk Ahras,AIN Djehifa,1.0,2.0,1920.0,1
