,province,town,coordinates,start_date,end_date
0,Souk Ahras,AIN Djehifa,"[[7.925396563162748, 36.165179438758244], [7.99200117742056, 36.165179438758244], [7.99200117742056, 36.203142668841686], [7.925396563162748, 36.203142668841686], [7.925396563162748, 36.165179438758244]]",2021-08-08,2021-08-12
1,Souk Ahras,Souk Ahras,"[[7.957497240652982, 36.240627076046934], [7.990112902274076, 36.240627076046934], [7.990112902274076, 36.26775895617069], [7.957497240652982, 36.26775895617069], [7.957497240652982, 36.240627076046934]]",2021-08-08,2021-08-12
2,Blida,Ain Roumana,"[[3.2554255823673683, 36.46550632482101], [3.3395396570743996, 36.46550632482101], [3.3395396570743996, 36.53560532964522], [3.2554255823673683, 36.53560532964522], [3.2554255823673683, 36.46550632482101]]",2021-08-08,2021-08-12
3,Bejaia,Thala Hamdoune,"[[4.58322416376308, 36.732796674185984], [4.725016461126361, 36.732796674185984], [4.725016461126361, 36.81227392936757], [4.58322416376308, 36.81227392936757], [4.58322416376308, 36.732796674185984]]",2021-08-08,2021-08-12
4,Bejaia,Adekar,"[[4.642488647499938, 36.666028391587986], [4.666864563027282, 36.666028391587986], [4.666864563027282, 36.70030673745205], [4.642488647499938, 36.70030673745205], [4.642488647499938, 36.666028391587986]]",2021-08-08,2021-08-12
5,Bejaia,Tighilt,"[[4.836122680703063, 36.58296639379894], [4.858266998330016, 36.58296639379894], [4.858266998330016, 36.600608303702664], [4.836122680703063, 36.600608303702664], [4.836122680703063, 36.58296639379894]]",2021-08-08,2021-08-12
6,Bejaia,Toudja,"[[4.80066010486492, 36.70741327240622], [4.950348825568045, 36.70741327240622], [4.950348825568045, 36.77591778114183], [4.80066010486492, 36.77591778114183], [4.80066010486492, 36.70741327240622]]",2021-08-08,2021-08-12
7,Bejaia,Barbacha,"[[4.929397586582014, 36.573526211056404], [4.99565887808592, 36.573526211056404], [4.99565887808592, 36.62010884038512], [4.929397586582014, 36.62010884038512], [4.929397586582014, 36.573526211056404]]",2021-08-08,2021-08-12
8,Bejaia,Tirilets,"[[5.023620114375342, 36.7579976516641], [5.035636410762061, 36.7579976516641], [5.035636410762061, 36.775736969154664], [5.023620114375342, 36.775736969154664], [5.023620114375342, 36.7579976516641]]",2021-08-08,2021-08-12
9,Bejaia,Taguemmount,"[[5.022947102944197, 36.59949285445254], [5.109807759682479, 36.59949285445254], [5.109807759682479, 36.64220325822157], [5.022947102944197, 36.64220325822157], [5.022947102944197, 36.59949285445254]]",2021-08-08,2021-08-12
10,Bejaia,Ihamachane Qaa Irezza,"[[5.121112421895688, 36.6575190906883], [5.13355787172479, 36.6575190906883], [5.13355787172479, 36.66688279681797], [5.121112421895688, 36.66688279681797], [5.121112421895688, 36.6575190906883]]",2021-08-08,2021-08-12
11,Bejaia,Tizi NBerber,"[[5.197678504722001, 36.5678442329057], [5.295525489585282, 36.5678442329057], [5.295525489585282, 36.63289153490435], [5.197678504722001, 36.63289153490435], [5.197678504722001, 36.5678442329057]]",2021-08-08,2021-08-12
12,Bejaia,Oulad Laag,"[[5.302037709154761, 36.57449613710339], [5.324868672289527, 36.57449613710339], [5.324868672289527, 36.59255346220783], [5.302037709154761, 36.59255346220783], [5.302037709154761, 36.57449613710339]]",2021-08-08,2021-08-12
13,Bejaia,Ighzer NTabazit,"[[5.2894899654748295, 36.54136359041719], [5.3334352779748295, 36.54136359041719], [5.3334352779748295, 36.558877119149535], [5.2894899654748295, 36.558877119149535], [5.2894899654748295, 36.54136359041719]]",2021-08-08,2021-08-12
14,Bejaia,Tamridjet,"[[5.393902608541108, 36.54916669577524], [5.4373329369102485, 36.54916669577524], [5.4373329369102485, 36.5757774890767], [5.393902608541108, 36.5757774890767], [5.393902608541108, 36.54916669577524]]",2021-08-08,2021-08-12
15,Bejaia,Yafaguen,"[[5.447975942281342, 36.57467463311984], [5.479218312886811, 36.57467463311984], [5.479218312886811, 36.58349703972602], [5.447975942281342, 36.58349703972602], [5.447975942281342, 36.57467463311984]]",2021-08-08,2021-08-12
16,Bejaia,Idjeblien,"[[5.426735177263562, 36.59131603950414], [5.451111092790906, 36.59131603950414], [5.451111092790906, 36.60916273551872], [5.426735177263562, 36.60916273551872], [5.426735177263562, 36.59131603950414]]",2021-08-08,2021-08-12
17,Bejaia,Aguemoun,"[[5.378681593546544, 36.62412204382288], [5.399967604288731, 36.62412204382288], [5.399967604288731, 36.63369643986315], [5.378681593546544, 36.63369643986315], [5.378681593546544, 36.62412204382288]]",2021-08-08,2021-08-12
