,DayOfYear,DetailedQA,EVI,NDVI,RelativeAzimuth,SolarZenith,SummaryQA,ViewZenith,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b07
4122,227.0,2116.0,2353.0,3931.0,13755.0,2775.0,0.0,408.0,1153.0,2629.0,509.0,1770.0
4123,227.0,2116.0,2774.0,5151.0,13913.0,2776.0,0.0,385.0,750.0,2329.0,347.0,1356.0
4124,227.0,2116.0,2678.0,4881.0,13881.0,2775.0,0.0,392.0,830.0,2376.0,388.0,1507.0
4125,227.0,2116.0,2957.0,4910.0,9420.0,2851.0,0.0,500.0,914.0,2667.0,440.0,1419.0
4126,227.0,2116.0,2234.0,3666.0,9390.0,2850.0,0.0,509.0,1215.0,2612.0,563.0,1835.0
4127,236.0,2116.0,2262.0,3789.0,518.0,3006.0,0.0,719.0,1176.0,2580.0,533.0,1657.0
4128,227.0,2116.0,2705.0,4902.0,9249.0,2853.0,0.0,501.0,825.0,2379.0,387.0,1226.0
4129,227.0,2116.0,2760.0,5011.0,13620.0,2776.0,0.0,400.0,799.0,2370.0,384.0,1121.0
4130,227.0,2116.0,2678.0,4673.0,4896.0,2928.0,0.0,607.0,914.0,2494.0,428.0,1247.0
4131,227.0,2116.0,2215.0,4505.0,13810.0,2776.0,0.0,383.0,722.0,1932.0,355.0,1441.0
4132,227.0,2116.0,2200.0,4302.0,13746.0,2776.0,0.0,390.0,867.0,2133.0,387.0,1524.0
4133,227.0,2116.0,2292.0,3795.0,9337.0,2851.0,0.0,500.0,1195.0,2639.0,532.0,1839.0
4134,227.0,2116.0,2353.0,3931.0,13755.0,2775.0,0.0,408.0,1153.0,2629.0,509.0,1770.0
4135,227.0,2116.0,2774.0,5151.0,13913.0,2776.0,0.0,385.0,750.0,2329.0,347.0,1356.0
4136,227.0,2116.0,2678.0,4881.0,13881.0,2775.0,0.0,392.0,830.0,2376.0,388.0,1507.0
4137,227.0,2116.0,2957.0,4910.0,9420.0,2851.0,0.0,500.0,914.0,2667.0,440.0,1419.0
4138,227.0,2116.0,2234.0,3666.0,9390.0,2850.0,0.0,509.0,1215.0,2612.0,563.0,1835.0
4139,227.0,2116.0,1795.0,2872.0,9442.0,2836.0,0.0,635.0,1446.0,2615.0,673.0,1926.0
4140,227.0,2116.0,1833.0,3048.0,13906.0,2759.0,0.0,678.0,1304.0,2452.0,621.0,1974.0
4141,227.0,2116.0,1795.0,2872.0,9442.0,2836.0,0.0,635.0,1446.0,2615.0,673.0,1926.0
4142,227.0,2116.0,1833.0,3048.0,13906.0,2759.0,0.0,678.0,1304.0,2452.0,621.0,1974.0
4143,227.0,2116.0,1795.0,2872.0,9442.0,2836.0,0.0,635.0,1446.0,2615.0,673.0,1926.0
